what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922796796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922797109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922797109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922798093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922890265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922894312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346922896015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922900671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922900671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922900718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922908140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346922909203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922911078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922912125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922912953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922913750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922914578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922915359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922916140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922916921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922917687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922918437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922919234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922919984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346922922328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346922924000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346922968828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922975187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922978890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922979375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922987500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922990546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922990968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922993828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346922994468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346922996968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923001328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923001703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923004000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923006828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923007500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1346923038312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923047375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923050109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923050375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923053171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923063484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923064109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923066625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923069687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923070031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923074703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923083875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923084406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923090437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923093812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923094265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923097750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923100718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923101296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923103625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923106890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923107531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923109531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923112187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923112562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346923117921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923119468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923121921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923131265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923155671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923158828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923161453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346923165093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346923176812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346923186093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346923190031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346923190937
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346923200031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923204953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923206375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346923206421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923211390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923212062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346923212109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923216078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923218718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346923218750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923223000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346923224343
