what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924190500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924193484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924193718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924200812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924205218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924205562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924208375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924210953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924211578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924213921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924217578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924217921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924220656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924223359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924228406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924229078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924231890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924235484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924238062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924240812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924241687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924243906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924244218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924247687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346924251109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346924251906
