what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873598953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873599125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873602843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873605812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873605937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873609937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873612796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873613062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873616468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873619296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873619500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873623375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873626437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873626718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873629687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873631843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873633281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873636750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873640953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873641734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873645390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873648156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873648734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873651609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873654453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873655718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873658828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873661625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873662453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873665437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873668078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873668640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346873674859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873675921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873685703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346873688437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873689296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346873696015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873697062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346873714593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346873722687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346873734187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346873739421
