what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346930126203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346930128656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930138531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930141796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930151640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930158968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346930159218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930163203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930165796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346930166203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930170359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930173078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346930173406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930178109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930180531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930181234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930187187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346930187671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346930189203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930193421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930193421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930193453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930480125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930486828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930487750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930701187
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346930704437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930708781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346930714203
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930714421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930714515
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346930718078
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930718328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930718406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346930723562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930724281
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346930724281
